row city                year month sales     volume median listings inventory  date
  1 Victoria            2003     6    75    7910000  92100      359       6.3 2003.
  2 Amarillo            2008     2   274   37900000 122700     1413       5.1 2008.
  3 Laredo              2008     7    82   11330344 120000      799       9.5 2008.
  4 South Padre Island  2004     8    NA         NA     NA       NA      NA   2005.
  5 Laredo              2002     1    NA         NA     NA       NA      NA   2002
  6 Sherman-Denison     2000     4    76    6892592  78900      529       7.1 2000.
  7 Laredo              2004     8    77   11133740 120700       NA      NA   2005.
  8 South Padre Island  2006    10    NA         NA     NA       NA      NA   2007.
  9 Lufkin              2006     7    72    9490000 115000       NA      NA   2006.
 10 NE Tarrant County   2006     5   966  206464184 162300     4084       5   2006.
 11 Longview-Marshall   2006     3   250   32330000 111500     1073       5   2006.
 12 Denton County       2015     7  1161  303559728 229200     1817       2.2 2016.
 13 Victoria            2005     3    83    9260000  96400      324       4.5 2005.
 14 Fort Worth          2007     7  1104  170357642 124100     6499       6.5 2008.
 15 Waco                2003     5   193   21585000 102200      900      NA   2003.
 16 Laredo              2002     4    NA         NA     NA       NA      NA   2002.
 17 Midland             2010     8   132   24686787 174700      825       6.5 2011.
 18 Lufkin              2005    12    63    8010000  88300       NA      NA   2006.
 19 Port Arthur         2012     9    60    6405682  90000      612      10.5 2013.
 20 Laredo              2007     4    87   14985848 153800       NA      NA   2007.
 21 Sherman-Denison     2007     5   138   16907560  98200     1191       9.1 2007.
 22 Kerrville           2011     4    35    5619150 143300      856      24.8 2011.
 23 San Angelo          2004     2    99    9840000  85900      608       5.9 2004.
 24 Dallas              2012     5  5004 1175419749 175100    17726       4.7 2012.
 25 San Antonio         2005     2  1450  213938995 121400     8546       4.9 2005.
 26 Sherman-Denison     2015     5   160   23274472 125000      518       4   2015.
 27 Sherman-Denison     2014    12   119   16798992 129200      591       4.8 2015.
 28 Amarillo            2005     3   268   33065000 109200     1023       3.9 2005.
 29 Garland             2007    11   205   22697297  96900     1266       6.1 2008.
 30 Galveston           2000    11    53    6720000 102000      471       6.5 2001.
 31 Odessa              2003     5    NA         NA     NA       NA      NA   2003.
 32 Lubbock             2011     3   210   30208084 116100     1726       7.6 2011.
 33 Abilene             2005     3   170   14470000  71300      661       4.3 2005.
 34 Dallas              2002     8  4386  811329118 145500    23056       5.9 2003.
 35 Victoria            2011     6    80   11816141 136400      340       5.5 2011.
 36 Killeen-Fort Hood   2005     1   241   25530000  95900     1100       4.7 2005
 37 San Marcos          2013     7    34    5749499 150000      134       6.4 2014.
 38 Dallas              2014     5  5924 1618432082 209700    12208       2.5 2014.
 39 Lubbock             2001     8   260   26945000  83600      860       4.2 2002.
 40 Longview-Marshall   2009    11   202   27130000 120700     1409       8.3 2010.
 41 Beaumont            2013     6   232   36275117 134100     1675       9   2013.
 42 Montgomery County   2008     7   655  164320930 175500     4099       6.8 2008.
 43 Paris               2002     8    41    2970000  72500      367       9.8 2003.
 44 Brazoria County     2008     8   107   16215000 132900      730       7.3 2009.
 45 Victoria            2015     4    78   16086396 182500      299       3.9 2015.
 46 Irving              2004     9   120   19012278 121700      796       7.3 2005.
 47 Killeen-Fort Hood   2014     2   197   24047276 118400     1403       6.5 2014.
 48 Texarkana           2015     4    92   11876388 107300      579       6.6 2015.
 49 Irving              2013    10   142   27824620 157500      426       3   2014.
 50 Collin County       2015     2   938  300904769 283400     1817       1.4 2015.
